,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
100,Jamestown,US,2020-10-15 19:05:47,42.1,-79.24,57.2,71,90,20.8,overcast clouds
101,Ribeira Grande,PT,2020-10-15 19:05:47,38.52,-28.7,71.6,78,20,2.24,few clouds
102,Juegang,CN,2020-10-15 19:05:47,32.32,121.19,60.96,76,100,0.92,light rain
103,Khatanga,RU,2020-10-15 19:05:47,71.97,102.5,12.9,96,100,6.26,light snow
104,Tibu,CO,2020-10-15 19:05:48,8.64,-72.74,94.12,43,0,3.76,clear sky
105,Tasiilaq,GL,2020-10-15 19:05:48,65.61,-37.64,37.29,92,100,8.66,light rain
106,Cape Town,ZA,2020-10-15 19:02:32,-33.93,18.42,61.0,77,20,17.22,few clouds
107,Itarema,BR,2020-10-15 19:05:48,-2.92,-39.92,83.88,66,93,19.28,overcast clouds
108,Butaritari,KI,2020-10-15 19:05:48,3.07,172.79,81.77,75,100,13.04,overcast clouds
109,Sao Gabriel Da Cachoeira,BR,2020-10-15 19:05:48,-0.13,-67.09,90.45,57,99,0.34,overcast clouds
110,Mormugao,IN,2020-10-15 19:05:48,15.4,73.8,78.8,94,90,9.17,drizzle
111,Orumiyeh,IR,2020-10-15 19:05:48,37.55,45.08,51.8,50,91,9.17,overcast clouds
112,Xining,CN,2020-10-15 19:05:48,36.62,101.77,36.34,73,97,1.3,overcast clouds
113,Namatanai,PG,2020-10-15 19:03:12,-3.67,152.43,79.3,77,83,5.59,broken clouds
114,Rio Gallegos,AR,2020-10-15 19:02:09,-51.62,-69.22,68.0,19,40,34.45,scattered clouds
115,Kieta,PG,2020-10-15 19:01:35,-6.22,155.63,78.13,77,58,0.54,broken clouds
116,Svetlogorsk,BY,2020-10-15 19:05:49,52.63,29.73,50.74,78,84,4.47,broken clouds
117,Geraldton,AU,2020-10-15 19:05:49,-28.77,114.6,57.2,82,0,9.17,clear sky
118,Ati,TD,2020-10-15 19:05:49,13.22,18.34,93.61,25,0,2.73,clear sky
119,Traralgon,AU,2020-10-15 19:05:49,-38.18,146.53,46.99,89,10,1.54,clear sky
120,Arlit,NE,2020-10-15 19:05:49,18.74,7.39,97.09,10,0,8.81,clear sky
121,Koslan,RU,2020-10-15 19:05:49,63.46,48.9,31.05,95,100,3.33,overcast clouds
122,Los Llanos De Aridane,ES,2020-10-15 19:05:49,28.66,-17.92,75.2,73,90,10.29,overcast clouds
123,Kaduna,NG,2020-10-15 19:05:50,10.52,7.44,79.12,60,37,3.4,scattered clouds
124,Cherskiy,RU,2020-10-15 19:01:50,68.75,161.3,33.58,90,100,7.61,overcast clouds
125,Edd,ER,2020-10-15 19:05:50,13.93,41.69,84.7,63,0,0.65,clear sky
126,Tongzi,CN,2020-10-15 19:05:50,28.78,105.09,56.43,91,100,3.29,overcast clouds
127,Faya,SA,2020-10-15 19:05:50,18.39,42.45,68.0,10,0,5.82,clear sky
128,Alyangula,AU,2020-10-15 19:05:50,-13.85,136.42,73.4,100,4,4.7,clear sky
129,Upernavik,GL,2020-10-15 19:05:50,72.79,-56.15,28.6,84,6,6.55,clear sky
130,Ancud,CL,2020-10-15 19:05:50,-41.87,-73.82,64.4,31,0,6.93,clear sky
131,Los Algarrobos,PA,2020-10-15 19:05:50,8.5,-82.43,87.8,62,40,4.7,scattered clouds
132,Heinola,FI,2020-10-15 19:05:50,61.21,26.04,39.2,80,40,8.05,scattered clouds
133,Sao Joao Da Barra,BR,2020-10-15 19:05:51,-21.64,-41.05,80.6,65,75,23.04,moderate rain
134,Bedesa,ET,2020-10-15 19:05:51,8.9,40.78,65.01,47,30,2.51,scattered clouds
135,Touros,BR,2020-10-15 19:05:51,-5.2,-35.46,86.0,62,40,16.11,scattered clouds
136,Mahebourg,MU,2020-10-15 19:05:51,-20.41,57.7,73.4,83,75,9.17,broken clouds
