City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Pauini,BR,2020-10-14 18:47:35,-7.71,-66.98,89.2,47,56,7.54
134,Varnamo,SE,2020-10-14 18:47:35,57.19,14.04,45.0,75,100,5.99
135,Yellowknife,CA,2020-10-14 18:42:51,62.46,-114.35,25.0,68,90,21.92
136,Gap,FR,2020-10-14 18:44:38,44.67,6.0,41.0,90,95,1.01
137,Pangnirtung,CA,2020-10-14 18:47:36,66.15,-65.71,37.4,44,75,14.99
138,Bara,NG,2020-10-14 18:47:36,10.37,10.73,81.25,69,100,8.16
139,Avila,ES,2020-10-14 18:47:36,40.58,-5.0,48.0,54,0,7.29
140,Sampit,ID,2020-10-14 18:47:36,-2.53,112.95,71.4,97,100,3.44
141,Adre,TD,2020-10-14 18:47:36,13.47,22.2,81.43,36,100,1.57
142,Adelaide,AU,2020-10-14 18:43:29,-34.93,138.6,73.0,40,92,10.29
143,Victoria,HK,2020-10-14 18:43:22,22.29,114.16,79.0,82,89,4.0
144,Kavieng,PG,2020-10-14 18:47:37,-2.57,150.8,80.49,79,7,7.0
145,Husavik,IS,2020-10-14 18:47:37,66.04,-17.34,46.4,70,100,14.99
146,Kodinsk,RU,2020-10-14 18:47:37,58.69,99.18,34.38,90,100,10.83
147,Voh,NC,2020-10-14 18:47:37,-20.97,164.7,70.77,89,20,3.96
148,Nisia Floresta,BR,2020-10-14 18:47:37,-6.09,-35.21,84.2,62,75,13.87
149,Ponta Do Sol,PT,2020-10-14 18:47:37,32.67,-17.1,71.6,73,75,11.41
150,Hualmay,PE,2020-10-14 18:47:38,-11.1,-77.61,68.34,67,19,8.46
151,Bredasdorp,ZA,2020-10-14 18:47:38,-34.53,20.04,57.2,82,0,3.36
152,Broken Hill,AU,2020-10-14 18:47:38,-31.95,141.43,64.4,42,75,6.93
153,Pisco,PE,2020-10-14 18:47:38,-13.7,-76.22,66.99,77,20,10.29
154,Ixtapa,MX,2020-10-14 18:47:38,20.7,-105.2,87.01,66,75,6.93
155,Fortuna,US,2020-10-14 18:47:38,40.6,-124.16,59.0,100,90,10.29
156,Olafsvik,IS,2020-10-14 18:47:38,64.89,-23.71,47.35,88,100,27.78
157,Aklavik,CA,2020-10-14 18:47:38,68.22,-135.01,21.2,92,75,3.69
158,Petauke,ZM,2020-10-14 18:47:39,-14.24,31.33,75.07,53,0,11.45
159,Kota Tinggi,MY,2020-10-14 18:47:39,1.74,103.9,78.8,88,20,5.82
160,Yambio,SS,2020-10-14 18:47:39,4.57,28.4,69.84,87,0,2.84
161,Klaksvik,FO,2020-10-14 18:47:39,62.23,-6.59,44.6,81,55,1.12
162,Bahia Blanca,AR,2020-10-14 18:45:14,-38.72,-62.27,63.36,30,0,15.59
163,Coahuayana,MX,2020-10-14 18:47:39,18.73,-103.68,80.6,74,20,4.65
164,Hasaki,JP,2020-10-14 18:47:39,35.73,140.83,64.4,82,75,11.41
165,Matay,EG,2020-10-14 18:47:39,28.42,30.78,81.5,36,98,15.99
166,Lethem,GY,2020-10-14 18:47:39,3.38,-59.8,96.12,36,21,7.43
167,Labuhan,ID,2020-10-14 18:47:40,-6.88,112.21,79.79,80,42,9.1
168,Jamestown,US,2020-10-14 18:46:08,42.1,-79.24,62.01,47,1,9.17
169,Dargaville,NZ,2020-10-14 18:47:40,-35.93,173.88,53.67,79,9,8.05
170,Coffs Harbour,AU,2020-10-14 18:47:40,-30.3,153.13,51.8,93,0,4.7
171,Raga,SS,2020-10-14 18:47:40,8.46,25.68,72.34,88,100,2.13
172,Tautira,PF,2020-10-14 18:47:40,-17.73,-149.15,77.0,78,75,13.87
173,Indramayu,ID,2020-10-14 18:47:40,-6.33,108.32,81.93,69,100,11.81
174,Prieska,ZA,2020-10-14 18:47:40,-29.66,22.75,72.41,21,0,1.72
175,Saint-Pierre,RE,2020-10-14 18:47:40,-21.34,55.48,75.2,83,90,2.24
176,Kastornoye,RU,2020-10-14 18:47:41,51.83,38.13,62.83,57,100,8.16
177,Bullhead City,US,2020-10-14 18:47:41,35.15,-114.57,86.0,16,40,6.33
178,Lashio,MM,2020-10-14 18:47:41,22.93,97.75,64.94,95,0,1.43
179,Ust-Tsilma,RU,2020-10-14 18:47:41,65.44,52.15,31.66,98,46,4.36
180,Taoudenni,ML,2020-10-14 18:47:41,22.68,-3.98,95.23,15,0,5.95
181,Bandarbeyla,SO,2020-10-14 18:47:41,9.49,50.81,79.75,84,100,13.33
182,Esperance,AU,2020-10-14 18:47:41,-33.87,121.9,57.2,100,90,9.17
183,East Millcreek,US,2020-10-14 18:47:41,40.7,-111.81,63.0,48,75,16.11
184,Pinehurst,US,2020-10-14 18:47:41,35.2,-79.47,78.01,43,1,5.82
185,Hamilton,US,2020-10-14 18:45:54,39.18,-84.53,75.0,35,1,11.41
186,Whitefish,US,2020-10-14 18:47:42,48.41,-114.34,50.0,43,75,5.82
187,Biak,ID,2020-10-14 18:47:42,-0.91,122.88,77.41,79,97,4.25
188,Vodnyy,RU,2020-10-14 18:47:42,63.5,53.41,30.74,95,0,3.58
189,Lorengau,PG,2020-10-14 18:47:42,-2.02,147.27,80.76,78,87,5.5
190,College,US,2020-10-14 18:47:42,64.86,-147.8,21.99,62,75,8.05
191,Fortuna Foothills,US,2020-10-14 18:45:47,32.66,-114.41,98.01,15,1,5.82
192,Port-Gentil,GA,2020-10-14 18:47:42,-0.72,8.78,78.8,78,75,11.41
193,Palana,RU,2020-10-14 18:47:42,59.12,159.97,39.04,88,100,7.16
194,Washougal,US,2020-10-14 18:47:43,45.58,-122.35,57.99,82,90,5.59
195,Strezhevoy,RU,2020-10-14 18:47:43,60.73,77.59,42.8,100,90,6.71
196,Ekhabi,RU,2020-10-14 18:47:43,53.51,142.97,32.97,94,100,6.2
197,Polunochnoye,RU,2020-10-14 18:47:43,60.87,60.42,33.6,91,100,8.61
198,Ostrovnoy,RU,2020-10-14 18:47:43,68.05,39.51,35.83,85,100,9.31
199,Torbay,CA,2020-10-14 18:44:51,47.67,-52.73,54.0,66,75,23.04
200,Anchorage,US,2020-10-14 18:45:20,61.22,-149.9,42.01,74,90,1.1
201,Merritt,CA,2020-10-14 18:47:43,50.11,-120.79,50.0,81,1,3.36
202,Bethel,US,2020-10-14 18:43:31,41.37,-73.41,68.0,45,1,6.93
203,Carnarvon,AU,2020-10-14 18:47:43,-24.87,113.63,66.2,77,0,17.22
204,Kapaa,US,2020-10-14 18:47:43,22.08,-159.32,77.0,83,1,5.82
205,Vao,NC,2020-10-14 18:47:44,-22.67,167.48,71.76,86,39,16.13
206,Paamiut,GL,2020-10-14 18:47:44,61.99,-49.67,37.98,87,94,9.06
207,Richards Bay,ZA,2020-10-14 18:47:44,-28.78,32.04,65.39,71,84,5.55
208,San Carlos De Bariloche,AR,2020-10-14 18:47:44,-41.15,-71.31,69.8,60,10,13.87
209,Porto Novo,BJ,2020-10-14 18:45:02,6.5,2.6,80.6,88,40,12.75
210,Ojinaga,MX,2020-10-14 18:47:44,29.57,-104.42,89.01,25,1,4.27
211,Atar,MR,2020-10-14 18:46:40,20.52,-13.05,87.8,43,77,13.87
212,Chimoio,MZ,2020-10-14 18:47:44,-19.12,33.48,68.0,88,75,9.17
213,Narsaq,GL,2020-10-14 18:47:44,60.92,-46.05,41.0,75,20,4.7
214,Axim,GH,2020-10-14 18:47:44,4.87,-2.24,77.61,86,9,9.46
215,Tura,IN,2020-10-14 18:47:45,25.52,90.22,73.71,94,61,2.51
216,Ahmadpur Sial,PK,2020-10-14 18:47:45,30.68,71.75,78.8,61,0,5.17
217,Martaban,MM,2020-10-14 18:47:45,16.53,97.61,76.64,91,100,1.45
218,Disna,BY,2020-10-14 18:47:45,55.57,28.2,52.9,95,68,5.44
219,Saint-Joseph,RE,2020-10-14 18:47:45,-21.37,55.62,75.2,83,90,2.24
220,Oktyabrskiy,RU,2020-10-14 18:47:45,54.48,53.47,50.65,44,98,8.48
221,Katsuura,JP,2020-10-14 18:47:45,35.13,140.3,66.99,72,75,11.41
222,Hithadhoo,MV,2020-10-14 18:47:45,-0.6,73.08,83.12,75,2,12.55
223,Ancud,CL,2020-10-14 18:47:45,-41.87,-73.82,59.0,51,0,8.05
224,Kabalo,CD,2020-10-14 18:47:45,-6.05,26.92,75.58,69,26,1.39
225,Cherskiy,RU,2020-10-14 18:47:46,68.75,161.3,30.83,93,62,9.75
226,Palapye,BW,2020-10-14 18:47:46,-22.55,27.13,72.77,50,0,18.92
227,Baicheng,CN,2020-10-14 18:47:46,45.62,122.82,34.56,72,0,4.47
228,Leningradskiy,RU,2020-10-14 18:47:46,69.38,178.42,30.54,93,100,9.28
229,Camacha,PT,2020-10-14 18:47:46,33.08,-16.33,68.0,88,40,16.11
230,Thanh Hoa,VN,2020-10-14 18:47:46,19.8,105.77,73.71,93,100,3.69
231,Broome,US,2020-10-14 18:43:32,42.25,-75.83,66.0,41,20,10.29
232,Cidreira,BR,2020-10-14 18:47:46,-30.18,-50.21,65.44,70,1,8.84
233,Port Hedland,AU,2020-10-14 18:47:46,-20.32,118.57,71.6,88,0,6.93
234,Dovolnoye,RU,2020-10-14 18:47:46,54.5,79.67,45.12,67,100,13.96
235,Gagarin,RU,2020-10-14 18:47:47,55.55,35.0,54.18,89,40,8.86
236,Saint George,US,2020-10-14 18:47:47,37.1,-113.58,69.8,15,1,5.86
237,Alyangula,AU,2020-10-14 18:47:47,-13.85,136.42,75.2,94,0,10.85
